,hhid,group_id_x,totformalborrow_24,totinformalborrow_24,hhinc,hhnomembers_x,survey_round,hhinc_24,totformalborrow_24_top_coded,totinformalborrow_24_top_coded,hhinc_top_coded,hhinc_24_top_coded,total_borrowed_amount,pair_id,treated,daily_per_capita_income,below_poverty_line,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
48,3548.0,87.0,30000,67000,16410,4,Endline I,393840,30000.0,67000.0,16410.0,393840.0,97000,10,1,136.75,1,Male (1),60.0,12 years,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,3557.0,62.0,10000,30000,2500,3,Endline I,60000,10000.0,30000.0,2500.0,60000.0,40000,7,1,27.777777777777775,1,Male (1),64.0,3-7 years (Classes 1-5),1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,3616.0,4.0,50000,30000,6700,4,Endline II,160800,50000.0,30000.0,6700.0,160800.0,80000,31,0,55.833333333333336,1,Male (1),60.0,11 years,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,3683.0,137.0,40000,30000,5000,2,Endline II,120000,40000.0,30000.0,5000.0,120000.0,70000,14,1,83.33333333333333,1,Male (1),54.0,12 years,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,3991.0,76.0,193000,30000,1500,7,Endline II,36000,193000.0,30000.0,1500.0,36000.0,223000,5,0,7.142857142857143,0,Female (0),31.0,14 years (Class 12/HSC),1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
53,4186.0,16.0,50000,15000,16000,4,Endline II,384000,50000.0,15000.0,16000.0,384000.0,65000,15,0,133.33333333333334,1,Male (1),50.0,14 years (Class 12/HSC),1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,4237.0,94.0,10000,35000,8000,4,Endline I,192000,10000.0,35000.0,8000.0,192000.0,45000,20,1,66.66666666666667,1,Male (1),31.0,10 years,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
55,4348.0,16.0,80000,30000,6700,3,Endline II,160800,80000.0,30000.0,6700.0,160800.0,110000,15,0,74.44444444444444,1,Male (1),60.0,11 years,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,4456.0,128.0,30000,30000,3500,2,Endline II,84000,30000.0,30000.0,3500.0,84000.0,60000,13,1,58.333333333333336,1,Female (0),60.0,0 years,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,4480.0,83.0,50000,21000,2000,8,Endline I,48000,50000.0,21000.0,2000.0,48000.0,71000,9,0,8.333333333333334,0,Male (1),52.0,3-7 years (Classes 1-5),1.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
